commit_hash,test_time,toal_time
19849509da2a483ba0a8543606a3b570b7ec5c68,17.416,204
9bdb3dbe184a8a481bf6e8b26167e462c29f4ad8,16.592,294
282bdb6216776f6585e543a8d41f42b7102f51bd,23.945,338
ac94e03a15ffa1b56ebb95b993616efbdb0c059e,18.874,259
16bc204808306908be7248e0bb54c9fb7a1b784c,19.994,297
04697739edb6b60ecdbcccbfeb4e787728674942,19.498,270
de5f2b46fa952a69a8819b60d60a03eac1154282,19.597,273
76b2750312cf85dd36dfde8bfa1a9fa8a38b9d81,23.687,289
bf43d4ed4639a334245b83c44b6c31f042e784de,28.662,308
2392ae8afc08b496a3eb49908aa421ea86a9679e,34.188,341
