commit_hash,test_time,toal_time
e08c12f7216dd5abd1933cb8c033873bd9f10f33,50.583,312
bc33e591299beaca214024500133568d39a74416,26.264,349
cada569118232d662146c04b9fc78f7d0d055f6d,20.120,244
ff57a627511793d7c95c5354b3cf4247859c0b52,27.957,225
8707fddee27d10bded0b3f814845b4a7dddf2776,36.654,276
3d9bb608a1fa4f77c243b41386d977561c7ca53f,24.375,340
94103690e20ce71be389195e37930494e3b942e0,22.129,299
2c66bceaa7c11e0c44522dd28624b79914953407,22.896,250
2eabe0ca39e77503cd29e48bf0856410c5ef4762,29.142,353
5e6b2cedbb6137c556f66db09285aa2cffd3cf0a,29.247,324
