commit_hash,test_time,toal_time
b9e2a97758ba6c007fcda160c4d8b0528bdbfebd,71,414
1bcfa1cc87889cd97e62a9402079f5bc70a0f563,54.541,359
07de4dd578727555bb94ed421498f455838b317d,50.579,352
b15deac11af9ba749f3492f62e49e5e4ca63edc8,73,438
87417154f28ae944243ae2bdb9d9ce0d31f5c892,82,763
641aa1c663ebead0189bf001a06ee56463070ddb,57.778,556
b9522976f462687b0693b7229ba5c7faee0cb74b,52.724,752
be6789ced66778415184f6d36bf662704cbbd911,58.435,598
94cfcc6989af75eadab26041a484bf02ad374578,59.597,547
0b1460dadb5934ebeb0c1c6ef79992606cdb91f0,78,609
