commit_hash,test_time,toal_time
248fff186e33dcdcff49bea4f1f894f5c226c36c,21.618,356
85104ae61e58ea3493b7984c0bca2139171aa3ef,19.768,498
2434446fbaff5ee8d90ec884e32e08aa75492841,23.832,360
180f6138b185a03ae1ee154b8048d67cf23af181,14.710,344
4242ff461ef2fd28a41b04946c0161f3d891da54,14.016,213
6c00d575a9521c386743891fd34bc5181174cc01,13.370,240
3cc0a34d2dd4d8ee6ad2f025a955b6d98e2b8f2d,13.568,244
a2446c7fced12f49766206009ba193b8e1563ca5,14.865,287
bede1aaceec656c4330e7c51b3f232ae469e7e0e,14.593,365
cae90facebc54803232a0593003914ca77193a73,13.884,339
