commit_hash,test_time,toal_time
2ae51b169cc15b2540cb4dbec40905e4cd008304,21.359,75
2a80a2ebbeec365874e865e21e078d8a15129ec9,8.749,77
901cabd868038f5e8115ec53cb0f642bebcefb19,8.984,82
57b9228181363515e8cbf8f1f551f1cd5b32e931,6.461,63
42e5575365adf4a4aa9d1bd97e6a560a717f241e,10.890,112
815f90d3c56a77b84583c699421cf1d115dafa9e,9.842,117
40d9b6a9b5b7220a8903209770a87d896d661da9,17.983,140
208ebc3190ecf7b546b47c5194fac3d73799019a,13.820,76
d67b081467023a69918302f8d23a85a50b3dc458,20.927,80
64aef7c3f3fbbccd82951e9988c5fe6383c1b6ca,8.653,70
