commit_hash,test_time,toal_time
2ae51b169cc15b2540cb4dbec40905e4cd008304,16.496,71
2a80a2ebbeec365874e865e21e078d8a15129ec9,13.043,63
901cabd868038f5e8115ec53cb0f642bebcefb19,14.061,69
57b9228181363515e8cbf8f1f551f1cd5b32e931,13.309,64
42e5575365adf4a4aa9d1bd97e6a560a717f241e,12.817,59
815f90d3c56a77b84583c699421cf1d115dafa9e,18.007,81
40d9b6a9b5b7220a8903209770a87d896d661da9,16.598,71
208ebc3190ecf7b546b47c5194fac3d73799019a,19.154,83
d67b081467023a69918302f8d23a85a50b3dc458,11.492,56
64aef7c3f3fbbccd82951e9988c5fe6383c1b6ca,11.926,51
