project, commit, job_num, status, all_test_time, all_total_time, all_test_num, all_log, sta_test_time, sta_total_time, sta_test_num, sta_cache_size, sta_log
compile-testing, fe6edd8e9aa9, 1, 0, 12, 39, 13, https://api.travis-ci.org/jobs/316231015/log, 19, 134, 13, 8212, https://api.travis-ci.org/jobs/316233448/log
compile-testing, 8e9ce9ed188d, 1, 0, 13, 45, 13, https://api.travis-ci.org/jobs/316231023/log, 16, 131, 13, 8364, https://api.travis-ci.org/jobs/316233478/log
compile-testing, 4006c15450d5, 1, 0, 15, 107, 13, https://api.travis-ci.org/jobs/316231079/log, 20, 101, 13, 8264, https://api.travis-ci.org/jobs/316233521/log
compile-testing, bf97f425cb93, 1, 0, 12, 43, 13, https://api.travis-ci.org/jobs/316231106/log, 47, 140, 13, 8264, https://api.travis-ci.org/jobs/316233538/log
compile-testing, e5e4eef1f1f5, 1, 0, 21, 61, 13, https://api.travis-ci.org/jobs/316231137/log, 19, 69, 13, 8268, https://api.travis-ci.org/jobs/316233559/log
compile-testing, 4dd5fde614e1, 1, 0, 12, 40, 13, https://api.travis-ci.org/jobs/316231166/log, 17, 72, 13, 8376, https://api.travis-ci.org/jobs/316233676/log
compile-testing, 0ef7e5e4ab26, 1, 0, 13, 105, 13, https://api.travis-ci.org/jobs/316231200/log, 17, 66, 13, 8480, https://api.travis-ci.org/jobs/316233717/log
compile-testing, c2f3634bcc10, 1, 0, 25, 135, 13, https://api.travis-ci.org/jobs/316231270/log, 22, 78, 13, 11060, https://api.travis-ci.org/jobs/316233756/log
compile-testing, cc5a56776c0f, 1, 0, 12, 42, 13, https://api.travis-ci.org/jobs/316231292/log, 16, 70, 13, 11060, https://api.travis-ci.org/jobs/316233795/log
compile-testing, 724d44759e35, 1, 0, 11, 41, 13, https://api.travis-ci.org/jobs/316231300/log, 17, 131, 5, 11060, https://api.travis-ci.org/jobs/316233845/log
commons-cli, 19849509da2a, 1, 0, 17, 67, 28, https://api.travis-ci.org/jobs/316248538/log, 22, 95, 0, 232, https://api.travis-ci.org/jobs/316252899/log
commons-cli, 9bdb3dbe184a, 1, 0, 27, 124, 28, https://api.travis-ci.org/jobs/316248586/log, 21, 127, 0, 232, https://api.travis-ci.org/jobs/316252903/log
commons-cli, 282bdb621677, 1, 0, 25, 101, 28, https://api.travis-ci.org/jobs/316248705/log, 22, 101, 28, 232, https://api.travis-ci.org/jobs/316252913/log
commons-cli, ac94e03a15ff, 1, 0, 20, 99, 28, https://api.travis-ci.org/jobs/316248757/log, 22, 97, 28, 232, https://api.travis-ci.org/jobs/316252956/log
commons-cli, 16bc20480830, 1, 0, 21, 79, 28, https://api.travis-ci.org/jobs/316248763/log, 22, 101, 28, 232, https://api.travis-ci.org/jobs/316253000/log
commons-cli, 04697739edb6, 1, 0, 26, 129, 28, https://api.travis-ci.org/jobs/316248797/log, 19, 169, 0, 232, https://api.travis-ci.org/jobs/316253028/log
commons-cli, de5f2b46fa95, 1, 0, 17, 74, 28, https://api.travis-ci.org/jobs/316248841/log, 28, 138, 0, 232, https://api.travis-ci.org/jobs/316253053/log
commons-cli, 76b2750312cf, 1, 0, 17, 79, 28, https://api.travis-ci.org/jobs/316248938/log, 29, 132, 0, 232, https://api.travis-ci.org/jobs/316253071/log
commons-cli, bf43d4ed4639, 1, 0, 40, 101, 28, https://api.travis-ci.org/jobs/316248954/log, 32, 239, 0, 232, https://api.travis-ci.org/jobs/316253089/log
commons-cli, 2392ae8afc08, 1, 0, 27, 86, 28, https://api.travis-ci.org/jobs/316248975/log, 34, 104, 0, 232, https://api.travis-ci.org/jobs/316253112/log
